*******************************************************************
* Genome-wide Complex Trait Analysis (GCTA)
* version 1.93.2 beta Linux
* (C) 2010-present, Jian Yang, The University of Queensland
* Please report bugs to Jian Yang <jian.yang.qt@gmail.com>
*******************************************************************
Analysis started at 23:28:35 -03 on Wed Jun 09 2021.
Hostname: darwin

Accepted options:
--reml
--reml-alg 0
--reml-maxit 1000
--grm /scratch/genevol/users/lucas/V3/grmNAfr
--pheno /raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DRB1.txt
--covar /raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt
--reml-est-fix
--out /raid/genevol/users/lucas/heritability/03.Heritability/Results/V3/HLA-DRB1/NAfrHLA-DRB10

Note: This is a multi-thread program. You could specify the number of threads by the --thread-num option to speed up the computation if there are multiple processors in your machine.

Reading IDs of the GRM from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.id].
358 IDs read from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.id].
Reading the GRM from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.bin].
GRM for 358 individuals are included from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.bin].
Reading phenotypes from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DRB1.txt].
Non-missing phenotypes of 358 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DRB1.txt].
Reading discrete covariate(s) from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt].
3 discrete covariate(s) of 445 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt].

3 discrete variable(s) included as covariate(s).
358 individuals are in common in these files.

Performing  REML analysis ... (Note: may take hours depending on sample size).
358 observations, 11 fixed effect(s), and 2 variance component(s)(including residual variance).
Calculating prior values of variance components by EM-REML ...
Updated prior values: 54752.4 54227.1
logL: -2189.68
Running AI-REML algorithm ...
Iter.	logL	V(G)	V(e)	
1	-2186.75	102084.20651	0.12097	(1 component(s) constrained)
2	-2184.44	98710.55180	0.12097	(1 component(s) constrained)
3	-2184.05	96584.75402	0.12097	(1 component(s) constrained)
4	-2183.46	92233.59955	0.12097	(1 component(s) constrained)
5	-2184.51	92419.49032	0.12097	(1 component(s) constrained)
6	-2184.75	92429.75105	0.12097	(1 component(s) constrained)
7	-2184.09	92411.35349	0.12097	(1 component(s) constrained)
8	-2183.73	92431.14538	0.12097	(1 component(s) constrained)
9	-2183.61	92435.73363	0.12097	(1 component(s) constrained)
10	-2184.04	92420.12236	0.12097	(1 component(s) constrained)
11	-2182.83	92427.40086	0.12097	(1 component(s) constrained)
12	-2183.44	92426.88685	0.12097	(1 component(s) constrained)
13	-2184.56	92427.11212	0.12097	(1 component(s) constrained)
14	-2183.33	92437.70047	0.12097	(1 component(s) constrained)
15	-2184.18	92430.40008	0.12097	(1 component(s) constrained)
16	-2184.27	92434.96469	0.12097	(1 component(s) constrained)
17	-2184.92	92400.25009	0.12097	(1 component(s) constrained)
18	-2183.98	92432.44270	0.12097	(1 component(s) constrained)
19	-2183.36	92464.84678	0.12097	(1 component(s) constrained)
20	-2185.03	92416.70676	0.12097	(1 component(s) constrained)
21	-2183.82	92426.64554	0.12097	(1 component(s) constrained)
22	-2183.73	92426.66011	0.12097	(1 component(s) constrained)
23	-2182.75	92405.71099	0.12097	(1 component(s) constrained)
24	-2184.56	92439.66265	0.12097	(1 component(s) constrained)
25	-2184.78	92412.75311	0.12097	(1 component(s) constrained)
26	-2184.97	92427.19738	0.12097	(1 component(s) constrained)
27	-2183.36	92436.22644	0.12097	(1 component(s) constrained)
28	-2184.09	92431.22445	0.12097	(1 component(s) constrained)
29	-2185.04	92416.98282	0.12097	(1 component(s) constrained)
30	-2183.63	92385.84394	0.12097	(1 component(s) constrained)
31	-2182.80	92395.59277	0.12097	(1 component(s) constrained)
