*******************************************************************
* Genome-wide Complex Trait Analysis (GCTA)
* version 1.93.2 beta Linux
* (C) 2010-present, Jian Yang, The University of Queensland
* Please report bugs to Jian Yang <jian.yang.qt@gmail.com>
*******************************************************************
Analysis started at 23:27:41 -03 on Wed Jun 09 2021.
Hostname: darwin

Accepted options:
--reml
--reml-alg 0
--reml-maxit 1000
--grm /scratch/genevol/users/lucas/V3/grmNAfr
--pheno /raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQB1.txt
--covar /raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt
--reml-est-fix
--out /raid/genevol/users/lucas/heritability/03.Heritability/Results/V3/HLA-DQB1/NAfrHLA-DQB10

Note: This is a multi-thread program. You could specify the number of threads by the --thread-num option to speed up the computation if there are multiple processors in your machine.

Reading IDs of the GRM from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.id].
358 IDs read from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.id].
Reading the GRM from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.bin].
GRM for 358 individuals are included from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.bin].
Reading phenotypes from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQB1.txt].
Non-missing phenotypes of 358 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQB1.txt].
Reading discrete covariate(s) from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt].
3 discrete covariate(s) of 445 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt].

3 discrete variable(s) included as covariate(s).
358 individuals are in common in these files.

Performing  REML analysis ... (Note: may take hours depending on sample size).
358 observations, 11 fixed effect(s), and 2 variance component(s)(including residual variance).
Calculating prior values of variance components by EM-REML ...
Updated prior values: 17199.5 17107.5
logL: -1987.86
Running AI-REML algorithm ...
Iter.	logL	V(G)	V(e)	
1	-1984.42	32666.89252	0.03841	(1 component(s) constrained)
2	-1984.13	31777.62901	0.03841	(1 component(s) constrained)
3	-1981.25	29987.02665	0.03841	(1 component(s) constrained)
4	-1983.59	30016.76061	0.03841	(1 component(s) constrained)
5	-1981.67	30089.16144	0.03841	(1 component(s) constrained)
6	-1981.79	30084.43133	0.03841	(1 component(s) constrained)
7	-1982.23	30076.75497	0.03841	(1 component(s) constrained)
8	-1982.80	30078.73983	0.03841	(1 component(s) constrained)
9	-1981.58	30073.19972	0.03841	(1 component(s) constrained)
10	-1982.84	30075.36664	0.03841	(1 component(s) constrained)
11	-1982.99	30067.20685	0.03841	(1 component(s) constrained)
12	-1983.20	30076.51257	0.03841	(1 component(s) constrained)
13	-1981.30	30087.10652	0.03841	(1 component(s) constrained)
14	-1982.89	30080.05228	0.03841	(1 component(s) constrained)
15	-1982.56	30086.99090	0.03841	(1 component(s) constrained)
16	-1983.64	30075.89306	0.03841	(1 component(s) constrained)
17	-1982.83	30084.13752	0.03841	(1 component(s) constrained)
18	-1983.65	30076.38012	0.03841	(1 component(s) constrained)
19	-1982.41	30082.56939	0.03841	(1 component(s) constrained)
20	-1981.99	30079.63752	0.03841	(1 component(s) constrained)
21	-1982.98	30075.46276	0.03841	(1 component(s) constrained)
22	-1982.28	30073.66698	0.03841	(1 component(s) constrained)
23	-1980.87	30077.26631	0.03841	(1 component(s) constrained)
24	-1982.04	30078.12302	0.03841	(1 component(s) constrained)
25	-1982.14	30074.99242	0.03841	(1 component(s) constrained)
26	-1982.42	30080.47966	0.03841	(1 component(s) constrained)
27	-1981.77	30086.63145	0.03841	(1 component(s) constrained)
28	-1982.65	30075.04921	0.03841	(1 component(s) constrained)
29	-1982.55	30072.46777	0.03841	(1 component(s) constrained)
30	-1980.99	30078.15565	0.03841	(1 component(s) constrained)
31	-1984.02	30075.18682	0.03841	(1 component(s) constrained)
32	-1983.22	30085.57398	0.03841	(1 component(s) constrained)
33	-1981.24	30079.07102	0.03841	(1 component(s) constrained)
34	-1981.07	30078.11995	0.03841	(1 component(s) constrained)
35	-1980.73	30079.22178	0.03841	(1 component(s) constrained)
36	-1982.92	30068.92104	0.03841	(1 component(s) constrained)
37	-1982.17	30066.42019	0.03841	(1 component(s) constrained)
38	-1982.67	30074.40082	0.03841	(1 component(s) constrained)
39	-1983.87	30072.74362	0.03841	(1 component(s) constrained)
40	-1982.48	30072.05739	0.03841	(1 component(s) constrained)
41	-1982.33	30071.56202	0.03841	(1 component(s) constrained)
42	-1983.23	30084.97744	0.03841	(1 component(s) constrained)
43	-1982.16	30093.45263	0.03841	(1 component(s) constrained)
44	-1981.30	30091.06809	0.03841	(1 component(s) constrained)
45	-1980.80	30064.41649	0.03841	(1 component(s) constrained)
46	-1983.75	30088.98414	0.03841	(1 component(s) constrained)
47	-1982.66	30085.51964	0.03841	(1 component(s) constrained)
48	-1982.71	30082.65536	0.03841	(1 component(s) constrained)
49	-1980.36	30077.28714	0.03841	(1 component(s) constrained)
50	-1981.39	30078.15248	0.03841	(1 component(s) constrained)
51	-1982.25	30063.83538	0.03841	(1 component(s) constrained)
52	-1983.60	30070.84258	0.03841	(1 component(s) constrained)
53	-1981.74	30082.98838	0.03841	(1 component(s) constrained)
54	-1981.81	30079.71579	0.03841	(1 component(s) constrained)
55	-1983.10	30079.28480	0.03841	(1 component(s) constrained)
56	-1983.63	30072.74638	0.03841	(1 component(s) constrained)
57	-1983.14	30084.96552	0.03841	(1 component(s) constrained)
58	-1983.01	30074.52473	0.03841	(1 component(s) constrained)
59	-1983.86	30078.98421	0.03841	(1 component(s) constrained)
60	-1984.40	30078.93974	0.03841	(1 component(s) constrained)
61	-1982.16	30070.27403	0.03841	(1 component(s) constrained)
62	-1982.70	30072.60346	0.03841	(1 component(s) constrained)
63	-1981.76	30074.80486	0.03841	(1 component(s) constrained)
64	-1981.86	30066.58279	0.03841	(1 component(s) constrained)
65	-1981.72	30072.09406	0.03841	(1 component(s) constrained)
66	-1982.77	30075.40461	0.03841	(1 component(s) constrained)
67	-1980.47	30066.54560	0.03841	(1 component(s) constrained)
68	-1981.70	30068.11547	0.03841	(1 component(s) constrained)
69	-1981.66	30073.83850	0.03841	(1 component(s) constrained)
70	-1982.47	30074.66450	0.03841	(1 component(s) constrained)
71	-1980.72	30065.81576	0.03841	(1 component(s) constrained)
72	-1981.82	30074.22485	0.03841	(1 component(s) constrained)
73	-1983.71	30075.68608	0.03841	(1 component(s) constrained)
74	-1983.72	30061.09470	0.03841	(1 component(s) constrained)
75	-1982.28	30080.27360	0.03841	(1 component(s) constrained)
76	-1982.06	30078.00138	0.03841	(1 component(s) constrained)
77	-1980.23	30069.18963	0.03841	(1 component(s) constrained)
78	-1983.77	30071.76823	0.03841	(1 component(s) constrained)
79	-1981.34	30072.01674	0.03841	(1 component(s) constrained)
80	-1981.48	30071.94999	0.03841	(1 component(s) constrained)
81	-1981.55	30073.29785	0.03841	(1 component(s) constrained)
82	-1982.47	30070.93504	0.03841	(1 component(s) constrained)
83	-1981.22	30068.66329	0.03841	(1 component(s) constrained)
84	-1981.18	30069.52922	0.03841	(1 component(s) constrained)
85	-1983.90	30082.13263	0.03841	(1 component(s) constrained)
86	-1983.31	30083.93726	0.03841	(1 component(s) constrained)
87	-1983.79	30069.07723	0.03841	(1 component(s) constrained)
88	-1983.01	30081.16457	0.03841	(1 component(s) constrained)
89	-1981.50	30077.82308	0.03841	(1 component(s) constrained)
90	-1981.59	30075.92821	0.03841	(1 component(s) constrained)
91	-1983.55	30074.60217	0.03841	(1 component(s) constrained)
92	-1981.28	30068.45717	0.03841	(1 component(s) constrained)
93	-1983.59	30069.37408	0.03841	(1 component(s) constrained)
94	-1981.39	30071.49537	0.03841	(1 component(s) constrained)
95	-1981.97	30070.24850	0.03841	(1 component(s) constrained)
96	-1983.81	30087.82059	0.03841	(1 component(s) constrained)
97	-1982.30	30078.99553	0.03841	(1 component(s) constrained)
98	-1981.20	30073.70240	0.03841	(1 component(s) constrained)
99	-1982.40	30074.36285	0.03841	(1 component(s) constrained)
100	-1980.96	30076.63512	0.03841	(1 component(s) constrained)
101	-1981.03	30075.44062	0.03841	(1 component(s) constrained)
102	-1982.78	30073.85241	0.03841	(1 component(s) constrained)
103	-1982.90	30076.75004	0.03841	(1 component(s) constrained)
104	-1981.36	30079.47757	0.03841	(1 component(s) constrained)
105	-1982.50	30078.95987	0.03841	(1 component(s) constrained)
106	-1981.42	30079.96893	0.03841	(1 component(s) constrained)
107	-1980.20	30079.51420	0.03841	(1 component(s) constrained)
108	-1979.94	30079.78742	0.03841	(1 component(s) constrained)
109	-1980.49	30081.40769	0.03841	(1 component(s) constrained)
110	-1982.27	30079.99544	0.03841	(1 component(s) constrained)
111	-1982.83	30071.38801	0.03841	(1 component(s) constrained)
112	-1981.27	30075.54622	0.03841	(1 component(s) constrained)
113	-1982.55	30072.06811	0.03841	(1 component(s) constrained)
114	-1980.87	30078.36361	0.03841	(1 component(s) constrained)
115	-1983.78	30073.39935	0.03841	(1 component(s) constrained)
116	-1983.90	30063.48657	0.03841	(1 component(s) constrained)
117	-1982.76	30074.02819	0.03841	(1 component(s) constrained)
118	-1982.53	30074.69669	0.03841	(1 component(s) constrained)
119	-1980.69	30087.82047	0.03841	(1 component(s) constrained)
120	-1984.47	30083.43860	0.03841	(1 component(s) constrained)
121	-1982.03	30080.78130	0.03841	(1 component(s) constrained)
122	-1980.15	30080.07155	0.03841	(1 component(s) constrained)
123	-1982.14	30079.75906	0.03841	(1 component(s) constrained)
124	-1982.98	30072.34394	0.03841	(1 component(s) constrained)
125	-1981.75	30084.83127	0.03841	(1 component(s) constrained)
126	-1983.42	30082.78868	0.03841	(1 component(s) constrained)
127	-1982.79	30082.17447	0.03841	(1 component(s) constrained)
128	-1981.73	30074.13581	0.03841	(1 component(s) constrained)
129	-1981.56	30078.42792	0.03841	(1 component(s) constrained)
130	-1983.35	30085.47621	0.03841	(1 component(s) constrained)
131	-1982.23	30078.48780	0.03841	(1 component(s) constrained)
132	-1983.05	30077.02753	0.03841	(1 component(s) constrained)
133	-1981.37	30082.27937	0.03841	(1 component(s) constrained)
134	-1981.22	30084.10864	0.03841	(1 component(s) constrained)
135	-1981.61	30076.78832	0.03841	(1 component(s) constrained)
136	-1981.65	30086.82864	0.03841	(1 component(s) constrained)
137	-1981.71	30083.20860	0.03841	(1 component(s) constrained)
138	-1981.72	30070.11648	0.03841	(1 component(s) constrained)
139	-1984.44	30070.99604	0.03841	(1 component(s) constrained)
140	-1982.56	30070.14108	0.03841	(1 component(s) constrained)
141	-1983.41	30076.24476	0.03841	(1 component(s) constrained)
142	-1982.49	30071.59564	0.03841	(1 component(s) constrained)
143	-1979.92	30068.87393	0.03841	(1 component(s) constrained)
144	-1981.70	30073.80797	0.03841	(1 component(s) constrained)
145	-1983.54	30070.44562	0.03841	(1 component(s) constrained)
146	-1982.19	30077.00809	0.03841	(1 component(s) constrained)
147	-1983.41	30075.44957	0.03841	(1 component(s) constrained)
148	-1982.27	30077.51677	0.03841	(1 component(s) constrained)
